Departement,Fromage,page_francaise,english_page,Lait
Charente-Maritime,Jonchée,http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29,,Vache
Charente-Maritime,Tricorne de Marans,http://fr.wikipedia.org/wiki/Tricorne_de_Marans,,Brebis
Côte-d'Or,L'Ami du Chambertin,http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin,,Vache
Eure,Le Pavé du Plessis,http://fr.wikipedia.org/wiki/Le_Pav%C3%A9_du_Plessis,,Vache
Isère,Bleu de Lavaldens,http://fr.wikipedia.org/wiki/Bleu_de_Lavaldens,,Vache
Nord,Le Rouchi à l'échalote,http://fr.wikipedia.org/wiki/Le_Rouchi_%C3%A0_l%27%C3%A9chalote,,Vache
Pas-de-Calais,Crémet du Cap Blanc Nez,http://fr.wikipedia.org/wiki/Cr%C3%A9met_du_Cap_Blanc_Nez,,Vache
Pas-de-Calais,Le Sire de Créquy,http://fr.wikipedia.org/wiki/Le_Sire_de_Cr%C3%A9quy,,Vache
Sarthe,Kiri,http://fr.wikipedia.org/wiki/Kiri_%28marque%29,,Vache
Eure,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Territoire de Belfort,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Dordogne,Chaumes,http://fr.wikipedia.org/wiki/Chaumes,http://en.wikipedia.org/wiki/Chaumes,Vache
Cantal,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,Vache
Haute-Saône,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Maine-et-Loire,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,,Vache
Seine-Maritime,Le Graval,http://fr.wikipedia.org/wiki/Le_Graval,,Vache
Saône-et-Loire,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Côte-d'Or,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,Vache
Vosges,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Ardèche,Le Coucouron,http://fr.wikipedia.org/wiki/Le_Coucouron,,Vache
Landes,Amou,http://fr.wikipedia.org/wiki/Amou_%28fromage%29,,Brebis
Lozère,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,,Brebis
Saône-et-Loire,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,http://en.wikipedia.org/wiki/M%C3%A2connais_cheese,Chèvre
Loiret,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,http://en.wikipedia.org/wiki/Crottin_de_Chavignol,Chèvre
Puy-de-Dôme,Fourme d'Ambert,http://fr.wikipedia.org/wiki/Fourme_d%27Ambert,http://en.wikipedia.org/wiki/Fourme_d%27Ambert,Vache
Ain,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,Vache
Jura,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,Vache
Ain,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,,Vache
Savoie,Moelleux du Revard,http://fr.wikipedia.org/wiki/Moelleux_du_Revard,,Vache
Aube,Chaource,http://fr.wikipedia.org/wiki/Chaource_%28fromage%29,http://en.wikipedia.org/wiki/Chaource_cheese,Vache
Puy-de-Dôme,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Aveyron,Gabriel Coulet,http://fr.wikipedia.org/wiki/Gabriel_Coulet_%28marque%29,,Brebis
Allier,Chambérat,http://fr.wikipedia.org/wiki/Chamb%C3%A9rat_%28fromage%29,,Vache
Calvados,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,Vache
Manche,Coutances,http://fr.wikipedia.org/wiki/Coutances_%28marque%29,http://en.wikipedia.org/wiki/Coutances_cheese,Vache
Réunion,La Petite Raclette,http://fr.wikipedia.org/wiki/La_Petite_Raclette,,Vache
Seine-et-Marne,Fontainebleau,http://fr.wikipedia.org/wiki/Fontainebleau_%28dessert%29,,Vache
Cantal,Salers,http://fr.wikipedia.org/wiki/Salers_%28fromage%29,http://en.wikipedia.org/wiki/Salers_cheese,Vache
Puy-de-Dôme,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,http://en.wikipedia.org/wiki/Saint-Nectaire,Vache
Cher,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,http://en.wikipedia.org/wiki/Crottin_de_Chavignol,Chèvre
Loire-Atlantique,Gourmelin,http://fr.wikipedia.org/wiki/Gourmelin_%28fromage%29,,Vache
Loire-Atlantique,Saint-gildas-des-bois,http://fr.wikipedia.org/wiki/Saint-gildas-des-bois_%28fromage%29,,Vache
Saône-et-Loire,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,Vache
Rhône,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,http://en.wikipedia.org/wiki/Rigotte_de_Condrieu,Chèvre
Haute-Corse,A Filetta,http://fr.wikipedia.org/wiki/A_Filetta_%28marque%29,,Brebis
Nord,Baguette paysanne à la moutarde,http://fr.wikipedia.org/wiki/Baguette_paysanne_%C3%A0_la_moutarde,,Vache
Réunion,La Fournaise,http://fr.wikipedia.org/wiki/La_Fournaise_%28fromage%29,,Vache
Vienne,Mottin charentais,http://fr.wikipedia.org/wiki/Mottin_charentais,http://en.wikipedia.org/wiki/Mottin_charentais,Vache
Lozère,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,http://en.wikipedia.org/wiki/Bleu_des_Causses,Vache
Pas-de-Calais,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,Vache
Mayenne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Manche,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Orne,Le Rustique,http://fr.wikipedia.org/wiki/Le_Rustique,http://en.wikipedia.org/wiki/Le_Rustique,Vache
Allier,Bessay,http://fr.wikipedia.org/wiki/Bessay_%28fromage%29,,Vache
Calvados,Carré de Bonneville,http://fr.wikipedia.org/wiki/Carr%C3%A9_de_Bonneville,,Vache
Haute-Loire,Tomme de Montagne,http://fr.wikipedia.org/wiki/Tomme_de_Montagne,,Vache
Réunion,Ti frais des Hauts,http://fr.wikipedia.org/wiki/Ti_frais_des_Hauts,,Vache
Savoie,Abondance,http://fr.wikipedia.org/wiki/Abondance_%28fromage%29,http://en.wikipedia.org/wiki/Abondance_cheese,Vache
Dordogne,Trappe Échourgnac,http://fr.wikipedia.org/wiki/Trappe_%C3%89chourgnac,,Vache
Haute-Corse,Brin d'amour,http://fr.wikipedia.org/wiki/Brin_d%27amour,,Brebis
Hérault,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,Chèvre
Loiret,Patay,http://fr.wikipedia.org/wiki/Patay_%28fromage%29,,Vache
Puy-de-Dôme,Bleu de Laqueuille,http://fr.wikipedia.org/wiki/Bleu_de_Laqueuille,,Vache
Rhône,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,http://en.wikipedia.org/wiki/M%C3%A2connais_cheese,Chèvre
Seine-Maritime,Bouille,http://fr.wikipedia.org/wiki/Bouille_%28fromage%29,,Vache
Haute-Loire,Fromage aux artisons,http://fr.wikipedia.org/wiki/Fromage_aux_artisons,,Vache
Seine-et-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,Vache
Loire,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,http://en.wikipedia.org/wiki/Fourme_de_Montbrison,Vache
Aude,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,Chèvre
Seine-et-Marne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,Vache
Drôme,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Vache
Isère,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Vache
Pyrénées-Atlantiques,P'tit Basque,http://fr.wikipedia.org/wiki/P%27tit_Basque,http://en.wikipedia.org/wiki/P%27tit_Basque,Brebis
Calvados,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Corrèze,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Côte-d'Or,Le Trou du Cru,http://fr.wikipedia.org/wiki/Le_Trou_du_Cru,http://en.wikipedia.org/wiki/Trou_du_Cru,Vache
Aisne,Belle des champs,http://fr.wikipedia.org/wiki/Belle_des_champs,,Vache
Ardèche,Saint-félicien,http://fr.wikipedia.org/wiki/Saint-f%C3%A9licien_%28fromage_de_l%27Ard%C3%A8che%29,,Vache
Nord,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,,Vache
Loir-et-Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,Chèvre
Nord,Mimolette,http://fr.wikipedia.org/wiki/Mimolette,http://en.wikipedia.org/wiki/Mimolette,Vache
Ain,Bresse Bleu,http://fr.wikipedia.org/wiki/Bresse_Bleu,http://en.wikipedia.org/wiki/Bleu_de_Bresse,Vache
Seine-et-Marne,Coulommiers,http://fr.wikipedia.org/wiki/Coulommiers_%28fromage%29,http://en.wikipedia.org/wiki/Coulommiers_cheese,Vache
Lot,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre
Ain,Pourri bressan,http://fr.wikipedia.org/wiki/Pourri_bressan,,Vache
Haute-Saône,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Loire-Atlantique,Le Curé Nantais,http://fr.wikipedia.org/wiki/Le_Cur%C3%A9_Nantais,,Vache
Puy-de-Dôme,Fourme de Rochefort-Montagne,http://fr.wikipedia.org/wiki/Fourme_de_Rochefort-Montagne,,Vache
Savoie,Bleu du Mont-Cenis,http://fr.wikipedia.org/wiki/Bleu_du_Mont-Cenis,,Vache
Saône-et-Loire,Autun,http://fr.wikipedia.org/wiki/Autun_%28fromage%29,,Chèvre
Seine-et-Marne,Brie de Montereau,http://fr.wikipedia.org/wiki/Brie_de_Montereau,,Vache
Cantal,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,Vache
Savoie,Tomme crayeuse,http://fr.wikipedia.org/wiki/Tomme_crayeuse,,Vache
Aveyron,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Cher,Faisselle,http://fr.wikipedia.org/wiki/Faisselle,,Vache
Orne,Fourmagée,http://fr.wikipedia.org/wiki/Fourmag%C3%A9e,,Vache
Charente-Maritime,Caillebotte,http://fr.wikipedia.org/wiki/Caillebotte_%28fromage%29,,Vache
Savoie,Persillé de Tignes,http://fr.wikipedia.org/wiki/Persill%C3%A9_de_Tignes,,Chèvre
Vosges,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Aveyron,Lou Pérac,http://fr.wikipedia.org/wiki/Lou_P%C3%A9rac,,Brebis
Dordogne,St Môret,http://fr.wikipedia.org/wiki/St_M%C3%B4ret,,Vache
Eure,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,Vache
Hautes-Alpes,Pic du Vieux Chaillol,http://fr.wikipedia.org/wiki/Pic_du_Vieux_Chaillol_%28fromage%29,,Vache
Réunion,Piton Maïdo,http://fr.wikipedia.org/wiki/Piton_Ma%C3%AFdo_%28fromage%29,,Vache
Savoie,Chevrotin,http://fr.wikipedia.org/wiki/Chevrotin,http://en.wikipedia.org/wiki/Chevrotin,Chèvre
Savoie,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Drôme,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,Chèvre
Nord,Mont des Cats,http://fr.wikipedia.org/wiki/Mont_des_Cats_%28marque_de_fromage%29,http://en.wikipedia.org/wiki/Mont_des_Cats_cheese,Vache
Cantal,Cantal,http://fr.wikipedia.org/wiki/Cantal_%28fromage%29,http://en.wikipedia.org/wiki/Cantal_cheese,Vache
Nord,Boulette d'Avesnes,http://fr.wikipedia.org/wiki/Boulette_d%27Avesnes,,Vache
Nord,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,Vache
Loire,Fromager d'Affinois,http://fr.wikipedia.org/wiki/Fromager_d%27Affinois,http://en.wikipedia.org/wiki/Fromager_d%27Affinois,Vache
Puy-de-Dôme,Gaperon,http://fr.wikipedia.org/wiki/Gaperon,http://en.wikipedia.org/wiki/Gaperon,Vache
Loiret,Pithiviers au foin,http://fr.wikipedia.org/wiki/Pithiviers_au_foin,,Vache
Sarthe,Cousteron,http://fr.wikipedia.org/wiki/Cousteron,,Vache
Aude,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache
Haute-Marne,Caprice des Dieux,http://fr.wikipedia.org/wiki/Caprice_des_Dieux,,Vache
Ain,Carré Frais,http://fr.wikipedia.org/wiki/Carr%C3%A9_Frais,,Vache
Aveyron,Recuite,http://fr.wikipedia.org/wiki/Recuite,,Brebis
Jura,La Vache qui rit,http://fr.wikipedia.org/wiki/La_Vache_qui_rit,http://en.wikipedia.org/wiki/The_Laughing_Cow,Vache
Orne,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,,Vache
Pas-de-Calais,Ch'ti Crémeux,http://fr.wikipedia.org/wiki/Ch%27ti_Cr%C3%A9meux,,Vache
Pyrénées-Atlantiques,Gaztanbera,http://fr.wikipedia.org/wiki/Gaztanbera,,Brebis
Seine-Maritime,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,http://en.wikipedia.org/wiki/Neufch%C3%A2tel_cheese,Vache
