Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
451514,16/11/2021,14/10/2021,,Décision,Plein contentieux, 6ème chambre jugeant seule
451551,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
451597,04/11/2021,14/10/2021,KONAN CALIXTE,Décision,Excès de pouvoir, 2ème chambre jugeant seule
451621,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
451623,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
451626,04/11/2021,30/09/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
451638,16/11/2021,14/10/2021,,Décision,Plein contentieux, 6ème chambre jugeant seule
451671,19/11/2021,21/10/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
451708,04/11/2021,30/09/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
451720,23/11/2021,15/10/2021,LE PRADO,Décision,Excès de pouvoir, 4ème chambre jugeant seule
451723,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
451740,16/11/2021,28/09/2021,OCCHIPINTI,Décision,, 8ème chambre jugeant seule
451755,19/11/2021,21/10/2021,"SCP ROCHETEAU, UZAN-SARANO",Décision,Excès de pouvoir,10ème chambre jugeant seule
451764,04/11/2021,30/09/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
451783,16/11/2021,28/09/2021,,Décision,, 8ème chambre jugeant seule
451789,23/11/2021,15/10/2021,,Décision,Plein contentieux, 4ème chambre jugeant seule
451790,09/11/2021,14/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir,1ère chambre jugeant seule
451826,04/11/2021,14/10/2021,PLAGNOL,Décision,Excès de pouvoir, 2ème chambre jugeant seule
451855,16/11/2021,28/09/2021,SARL DIDIER-PINET,Décision,, 8ème chambre jugeant seule
451860,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
451877,23/11/2021,15/10/2021,,Décision,Excès de pouvoir, 4ème chambre jugeant seule
451893,09/11/2021,14/10/2021,SCP SPINOSI,Décision,Excès de pouvoir,1ère chambre jugeant seule
451952,24/11/2021,08/10/2021,"SCP ZRIBI, TEXIER",Décision,Excès de pouvoir, 4ème chambre jugeant seule
451954,22/11/2021,21/10/2021,"SCP GATINEAU, FATTACCINI, REBEYROL",Décision,Plein contentieux, 8ème chambre jugeant seule
451961,09/11/2021,14/10/2021,SCP BUK LAMENT - ROBILLOT,Décision,Excès de pouvoir,1ère chambre jugeant seule
451962,19/11/2021,10/11/2021,CABINET ROUSSEAU ET TAPIE,Décision,Plein contentieux,7ème et 2ème chambres réunies
451971,18/11/2021,25/10/2021,LANFRANCHI PANCRAZI,Décision,,10ème chambre jugeant seule
451978,09/11/2021,14/10/2021,,Décision,Excès de pouvoir,1ère chambre jugeant seule
451999,24/11/2021,08/10/2021,"SCP OHL, VEXLIARD",Décision,Excès de pouvoir, 4ème chambre jugeant seule
452027,24/11/2021,08/10/2021,SCP BUK LAMENT - ROBILLOT,Décision,Excès de pouvoir, 4ème chambre jugeant seule
452030,24/11/2021,08/10/2021,"SCP SEVAUX, MATHONNET",Décision,Excès de pouvoir, 4ème chambre jugeant seule
452072,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
