Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
454060,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
454061,02/11/2021,,"SCP DELAMARRE, JEHANNIN",Ordonnance,Excès de pouvoir, 1ère chambre
454098,02/11/2021,,,Ordonnance,Plein contentieux, 1ère chambre
454122,17/11/2021,,DAUMONT,Ordonnance,Plein contentieux, 1ère chambre
454186,04/11/2021,,"SCP LYON-CAEN, THIRIEZ",Ordonnance,Plein contentieux, 7ème chambre
454202,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
454261,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
454395,03/11/2021,,SAID MOHAMED,Ordonnance,Excès de pouvoir, 2ème chambre
454420,15/11/2021,,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Ordonnance,Plein contentieux, 4ème chambre
454454,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
454509,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
454518,16/11/2021,,,Ordonnance,Plein contentieux, 6ème chambre
454631,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
454726,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
454727,16/11/2021,,,Ordonnance,Contentieux des pensions, 6ème chambre
454736,15/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
454870,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
454940,17/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
454959,04/11/2021,,,Ordonnance,, 7ème chambre
454972,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
455019,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
455083,04/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
455091,15/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
455135,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
455162,17/11/2021,,"SCP CELICE, TEXIDOR, PERIER",Ordonnance,Plein contentieux, 7ème chambre
455202,16/11/2021,,ABEILLE & ASSOCIES,Ordonnance,Plein contentieux, 6ème chambre
455203,17/11/2021,,,Ordonnance,Plein contentieux, 7ème chambre
455205,17/11/2021,,BERTIN,Ordonnance,Excès de pouvoir, 1ère chambre
455215,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455216,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455217,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455218,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455219,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455220,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455221,16/11/2021,,ABEILLE & ASSOCIES,Ordonnance,Excès de pouvoir, 6ème chambre
455222,04/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
455223,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455224,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455225,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455226,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455227,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455228,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455229,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455230,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455302,02/11/2021,,SCP BOUTET-HOURDEAUX,Ordonnance,Plein contentieux, 2ème chambre
455313,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455506,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
455531,08/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
455561,22/11/2021,,BRANCO,Ordonnance,Excès de pouvoir, 2ème chambre
455578,03/11/2021,,SAS CABINET BOULLOCHE,Ordonnance,Excès de pouvoir, 2ème chambre
455584,04/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
455591,17/11/2021,,,Ordonnance,Plein contentieux, 1ère chambre
455609,04/11/2021,,SCP BUK LAMENT - ROBILLOT,Ordonnance,Excès de pouvoir, 7ème chambre
455625,24/11/2021,,SARL DELVOLVE ET TRICHET,Ordonnance,Plein contentieux, 2ème chambre
455644,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455675,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
455686,02/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
455757,17/11/2021,,NIZARI,Ordonnance,Excès de pouvoir, 7ème chambre
455771,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
455940,17/11/2021,,,Ordonnance,Excès de pouvoir, 4ème chambre
456109,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456115,04/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
456118,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
456132,02/11/2021,,DIMINO,Ordonnance,Excès de pouvoir, 2ème chambre
456173,04/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
456174,04/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
456241,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456244,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456336,02/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
456381,08/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456547,18/11/2021,,"SCP SEVAUX, MATHONNET",Ordonnance,Excès de pouvoir, 5ème chambre
456559,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456564,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456604,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456614,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456628,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456685,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456731,08/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456773,08/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456796,22/11/2021,,,Ordonnance,Recours en révision, 2ème chambre
456804,08/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456837,09/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456839,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456841,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456922,09/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
456945,04/11/2021,,,Ordonnance,Excès de pouvoir, 1ère chambre
456970,09/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456976,09/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
456994,12/11/2021,,SIRAT NESSIM,Ordonnance,Plein contentieux, 9ème chambre
457006,15/11/2021,,,Ordonnance,Excès de pouvoir,Section du Contentieux
457061,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457068,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457096,18/11/2021,,,Ordonnance,Excès de pouvoir, 5ème chambre
457098,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457148,14/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
457159,15/11/2021,,"SCP DELAMARRE, JEHANNIN",Ordonnance,Autres, 4ème chambre
457169,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457173,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457200,15/11/2021,,,Ordonnance,Plein contentieux, 4ème chambre
457208,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457209,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457212,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457224,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457298,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457307,09/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457327,17/11/2021,,HIGNARD JULIETTE,Ordonnance,Excès de pouvoir, 7ème chambre
457426,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457461,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
457463,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457470,17/11/2021,,,Ordonnance,Excès de pouvoir, 7ème chambre
457472,24/11/2021,,SCP GUÉRIN - GOUGEON,Ordonnance,Excès de pouvoir, 2ème chambre
457477,17/11/2021,,BOCHNAKIAN LARRIEU-SANS,Ordonnance,Excès de pouvoir, 7ème chambre
457481,02/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457489,09/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457500,02/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457567,02/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457588,17/11/2021,,,Ordonnance,Excès de pouvoir,Bureau des référés
457609,02/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
457624,16/11/2021,,,Ordonnance,Excès de pouvoir, 6ème chambre
457716,10/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457758,05/11/2021,,,Ordonnance,Excès de pouvoir,Bureau des référés
457764,10/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457792,10/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457794,10/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457803,16/11/2021,,,Ordonnance,Plein contentieux, 9ème chambre
457808,10/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457871,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457918,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457921,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457929,17/11/2021,,,Ordonnance,Excès de pouvoir,Bureau des référés
457961,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457962,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
457986,24/11/2021,,QUENNEHEN-TOURBIER,Ordonnance,Excès de pouvoir, 2ème chambre
458046,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458124,22/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458192,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
458209,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458224,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458248,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458260,24/11/2021,,,Ordonnance,Excès de pouvoir, 2ème chambre
458288,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
458289,24/11/2021,,,Ordonnance,Plein contentieux, 2ème chambre
458348,17/11/2021,,,Ordonnance,Excès de pouvoir,Bureau des référés
458501,23/11/2021,,,Ordonnance,Excès de pouvoir,Section du Contentieux
